root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940623718380,['G2N-1; Second-order taste neuron; See Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.79887 Miyazaki et al.; 2015; 10.3109/01677063.2015.1054993'],GNG.766,ACH,intrinsic,central,,,['CB0616'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,830,453
720575940624963786,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.1690,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,127,289
720575940625047484,['unclassified_IN_FW_403'],GNG.610,,intrinsic,central,,,['CB0087'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1058,1109
720575940625102692,[],PRW.50,ACH,intrinsic,central,,,['CB0883'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1956,1775
720575940625164558,[],GNG.791,ACH,intrinsic,central,,,['CB0604'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1023,291
720575940625175054,[],GNG.432,ACH,intrinsic,central,,,['CB2403'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1289,832
720575940625178768,[],PRW.34,ACH,intrinsic,central,,,['CB0902'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,2347,1307
720575940625580988,['unclassified_IN_FW_479'],GNG.727,ACH,intrinsic,central,,,['CB0919'],MX12__prim,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,860,743
720575940625705930,['unclassified_IN_FW_524'],GNG.509,GABA,intrinsic,central,,,['CB0484'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1102,1905
720575940625867056,['unclassified_IN_FW_259'],GNG.145,DA,intrinsic,central,,,['CB0573'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,1693,580
720575940626191306,['Second-order gustatory neuron Fuchs (Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_627'],GNG.427,ACH,intrinsic,central,,,['CB0445'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1016,590
720575940626279742,[],GNG.776,ACH,intrinsic,central,,,['CB0604'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],left,1002,223
720575940626835146,['unclassified_IN_FW_254'],GNG.567,ACH,intrinsic,central,,,['CB0277'],putative_primary,,[],left,1229,1299
720575940626972056,['unclassified_IN_FW_519'],GNG.824,GABA,intrinsic,central,,,['CB0070'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,245,614
720575940627083294,['unclassified_IN_FW_530'],GNG.635,ACH,intrinsic,central,,,['CB0473'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,979,858
720575940627383685,['Second-order gustatory neuron Billiards (Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'; 'unclassified_IN_FW_556'],GNG.170,GABA,intrinsic,central,,,['CB0248'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'repeller'],left,1053,1670
720575940628114684,['Second-order gustatory neuron Dandelion (Shiu; Sterne et al.; 2022 https://doi.org/10.1101/2022.03.06.483180)'; 'ascending_FW_98'],GNG.1209,GABA,afferent,ascending,AN,,['CB3810'],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,607,292
720575940628802069,[],GNG.881,ACH,intrinsic,central,,,['CB0880'],putative_primary,,[],left,1260,1619
720575940628853239,['Possible Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'],GNG.1656,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],left,178,402
720575940629176663,['Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.2042,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],left,135,143
720575940629317450,[],PRW.5,GLUT,intrinsic,central,,,['CB0583'],putative_primary,,[],left,2901,1090
720575940629888530,['Second-order gustatory neuron Zorro (Shiu; Sterne et al.; 2022; https://doi.org/10.1101/2022.03.06.483180)'],GNG.599,ACH,intrinsic,central,,,['CB0192'],,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,1393,421
720575940630233916,['labial GRN'; 'Sugar Gustatory Receptor Neuron (GRN); See Engert et al. 2022 and Shiu; Sterne et al.; 2022; https://doi.org/10.7554/eLife.78110 and https://doi.org/10.7554/eLife.79887'; 'gustatory receptor neuron/GRN?'],GNG.1734,ACH,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'; 'repeller'],left,100,278
720575940630461660,['Second-order gustatory neuron Rattle; See Sterne et al.; 2021 10.7554/eLife.71679; Shiu; Sterne et al.; 2022; See https://splitgal4.janelia.org/cgi-bin/view_splitgal4_imagery.cgi?line=SS50091#'; 'unclassified_IN_FW_553'],GNG.348,ACH,intrinsic,central,,,['CB0499'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'],right,1675,1352
720575940630664556,['unclassified_IN_FW_571'],PRW.GNG.1,GABA,intrinsic,central,,,['CB1366'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],left,3648,3275
720575940630689644,['PSp3_ventral'; 'DNp'],GNG.850,ACH,efferent,descending,,,['DNpe030'],putative_primary,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],left,711,371
720575940631147148,[],GNG.2355,SER,afferent,sensory,gustatory,sugar/water,['LB3'],,MxLbN,['feedforward_loop_participant'; 'reciprocal'],right,115,93
720575940631349335,['unclassified_IN_FW_567'],GNG.215,DA,intrinsic,central,,,['CB0573'],putative_primary,,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'; 'attractor'; 'repeller'],right,1429,521
720575940631412778,[],GNG.1318,ACH,afferent,ascending,AN,,[],,CV,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,144,583
